word,key
哲蚌寺,中国民族.西藏等地区
扎什伦布寺,中国民族.西藏等地区
塔尔寺,中国民族.西藏等地区
拉卜楞寺,中国民族.西藏等地区
昌珠寺,中国民族.西藏等地区
萨迦寺,中国民族.西藏等地区
桑耶寺,中国民族.西藏等地区
白居寺,中国民族.西藏等地区
吉祥轮寺,中国民族.西藏等地区
夏鲁寺,中国民族.西藏等地区
托林寺,中国民族.西藏等地区
囊玛,中国民族.西藏等地区
郎玛,中国民族.西藏等地区
锅庄,中国民族.西藏等地区
堆谐,中国民族.西藏等地区
根卡,中国民族.西藏等地区
羌姆,中国民族.西藏等地区
金刚神舞,中国民族.西藏等地区
跳欠,中国民族.西藏等地区
藏剧,中国民族.西藏等地区
热巴,中国民族.西藏等地区
藏医,中国民族.西藏等地区
藏历,中国民族.西藏等地区
饶迥,中国民族.西藏等地区
藏历年,中国民族.西藏等地区
雪顿节,中国民族.西藏等地区
旺果节,中国民族.西藏等地区
望果节,中国民族.西藏等地区
萨噶达瓦节,中国民族.西藏等地区
沐浴节,中国民族.西藏等地区
燃灯节,中国民族.西藏等地区
门巴族,中国民族.西藏等地区
门隅,中国民族.西藏等地区
达旺细哲,中国民族.西藏等地区
达旺住哲,中国民族.西藏等地区
达旺寺,中国民族.西藏等地区
萨玛,中国民族.西藏等地区
珞巴族,中国民族.西藏等地区
珞渝,中国民族.西藏等地区
洛瑜,中国民族.西藏等地区
珞隅,中国民族.西藏等地区
麦德,中国民族.西藏等地区
麦让,中国民族.西藏等地区
涅巴,中国民族.西藏等地区
纽布,中国民族.西藏等地区
达谢,中国民族.西藏等地区
糌粑树,中国民族.西藏等地区
西藏自治区,中国民族.西藏等地区
甘南藏族自治州,中国民族.西藏等地区
海北藏族自治州,中国民族.西藏等地区
黄南藏族自治州,中国民族.西藏等地区
海南藏族自治州,中国民族.西藏等地区
果洛藏族自治州,中国民族.西藏等地区
玉树藏族自治州,中国民族.西藏等地区
迪庆藏族自治州,中国民族.西藏等地区
阿坝藏族羌族自治州,中国民族.西藏等地区
阿坝藏族自治州,中国民族.西藏等地区
四川省藏族自治区,中国民族.西藏等地区
甘孜藏族自治州,中国民族.西藏等地区
西康省藏族自治区,中国民族.西藏等地区
天祝藏族自治县,中国民族.西藏等地区
同德藏族自治区,中国民族.西藏等地区
海晏藏族自治区,中国民族.西藏等地区
卓尼藏族自治区,中国民族.西藏等地区
天峻藏族自治县,中国民族.西藏等地区
同仁藏族自治区,中国民族.西藏等地区
木里藏族自治县,中国民族.西藏等地区
回族,中国民族.西北地区
中国回民文化协进会,中国民族.西北地区
豫海县回民自治政府,中国民族.西北地区
回民支队,中国民族.西北地区
陕甘宁边区回民抗日骑兵团,中国民族.西北地区
海固事变,中国民族.西北地区
甘南事变,中国民族.西北地区
陇南事变,中国民族.西北地区
临洮暴动,中国民族.西北地区
马良骏,中国民族.西北地区
达浦生,中国民族.西北地区
马鸿宾,中国民族.西北地区
马宗融,中国民族.西北地区
白崇禧,中国民族.西北地区
郭隆真,中国民族.西北地区
刘清扬,中国民族.西北地区
马骏,中国民族.西北地区
马松亭,中国民族.西北地区
马连良,中国民族.西北地区
马本斋,中国民族.西北地区
马步芳,中国民族.西北地区
马坚,中国民族.西北地区
穆成宽,中国民族.西北地区
白寿彝,中国民族.西北地区
马仲英,中国民族.西北地区
纳训,中国民族.西北地区
回屯,中国民族.西北地区
回回营,中国民族.西北地区
回回炮,中国民族.西北地区
西域炮,中国民族.西北地区
探马赤军,中国民族.西北地区
牛街,中国民族.西北地区
盖头,中国民族.西北地区
涮羊肉,中国民族.西北地区
三炮台,中国民族.西北地区
盖碗茶,中国民族.西北地区
汤瓶,中国民族.西北地区
口唤,中国民族.西北地区
无常,中国民族.西北地区
归真,中国民族.西北地区
花儿,中国民族.西北地区
同心清真大寺,中国民族.西北地区
东乡族,中国民族.西北地区
汪百户事件,中国民族.西北地区
阿合交,中国民族.西北地区
米拉尕黑,中国民族.西北地区
哈利,中国民族.西北地区
那敦赤,中国民族.西北地区
