word,key
寒族,阶级、阶层
寒门,阶级、阶层
单家,阶级、阶层
寒人,阶级、阶层
寒士,阶级、阶层
寒素,阶级、阶层
勋门,阶级、阶层
流民,阶级、阶层
流人,阶级、阶层
乞活,阶级、阶层
乐属,阶级、阶层
乐输,阶级、阶层
浮浪人,阶级、阶层
十夫客,阶级、阶层
十夫,阶级、阶层
力,阶级、阶层
事力,阶级、阶层
滂民,阶级、阶层
白徒,阶级、阶层
养女,阶级、阶层
白丁,阶级、阶层
白户,阶级、阶层
南士,阶级、阶层
侨人,阶级、阶层
侨户,阶级、阶层
伧楚,阶级、阶层
新民,阶级、阶层
平凉户,阶级、阶层
平齐户,阶级、阶层
隶户,阶级、阶层
僧祇户,阶级、阶层
佛图户,阶级、阶层
厮养户,阶级、阶层
乐户,阶级、阶层
营户,阶级、阶层
主户,阶级、阶层
客户,阶级、阶层
官户,阶级、阶层
杂户,阶级、阶层
盐户,阶级、阶层
亭户,阶级、阶层
灶户,阶级、阶层
锅户,阶级、阶层
畦户,阶级、阶层
井户,阶级、阶层
铛户,阶级、阶层
牙商,阶级、阶层
牙郎,阶级、阶层
牙侩,阶级、阶层
牙人,阶级、阶层
牙子,阶级、阶层
客女,阶级、阶层
庄客,阶级、阶层
庄户,阶级、阶层
客作儿,阶级、阶层
一生人,阶级、阶层
郎,阶级、阶层
秀,阶级、阶层
徽商,阶级、阶层
晋商,阶级、阶层
投下户,阶级、阶层
亚海,阶级、阶层
那颜,阶级、阶层
那可儿,阶级、阶层
阿拉特,阶级、阶层
哈剌抽,阶级、阶层
孛斡勒,阶级、阶层
蒙古人,阶级、阶层
色目人,阶级、阶层
汉人,阶级、阶层
南人,阶级、阶层
驱户,阶级、阶层
驱口,阶级、阶层
驱丁,阶级、阶层
孛兰奚,阶级、阶层
重台,阶级、阶层
匠户,阶级、阶层
站户,阶级、阶层
伴当,阶级、阶层
伴当,阶级、阶层
世仆(僕),阶级、阶层
番匠,阶级、阶层
蕃匠,阶级、阶层
明资匠,阶级、阶层
长上匠,阶级、阶层
和雇,阶级、阶层
募匠,阶级、阶层
当行,阶级、阶层
轮班匠,阶级、阶层
住坐匠,阶级、阶层
机户,阶级、阶层
佃仆(僕),阶级、阶层
堕民,阶级、阶层
惰民,阶级、阶层
包衣,阶级、阶层
